,CUSTOMER_NAME,REVIEW_TITLE,REVIEW_COMMENTS,RATINGS,SOURCE,OVERALL_SENTIMENT
99,fayhope,New Favorite,Oh my gosh! These are my new favorite! These earphones are so comfortable and do not fall out. They sound they put out is absolutely amazing. I don't have to worry if it's raining outside because thankfully they are water resistant which is really good because I live in an area when you never know if you will get caught in a storm. They were easy to switch from on device to another and that is so helpful. The charge seems to last forever.,5,jbl,Positive
100,JD Ford,JBL got these right !,Wow JBL got these right!  The Live Pro 2 ear buds are truly amazing.  First the sound is incredibly full and has bass along with clarity.  They are excellent in noise cancelling the outside world.  I have used them mowing grass and I don't hear the mower just the music which is awesome.  I have wore these for several hours at a time and they are very comfortable in the ear and sweat does not seem to bother them.  They hold a charge well too for at least six hours at high volume.  These connected quickly to my phone and stayed connected so no issues with bluetooth.  I have owned many different ear buds and I have to say these are my favorite for sure.  I highly recommend them to anyone looking for excellent fullness with bass and clarity in their music.  These things do not disappoint so go ahead and buy you some they are a tremendous value for the sound quality.,5,jbl,Positive
101,boudreaux,Better than expected! Great color!,The JBL Live Pro 2 TWS were even better than I expected and I always expect JBL to be fabulous! The color is amazing and the sound is crystal clear. These earphones stay charged 10 hours and get to a 2 hour charge in just 15 minutes so if you need a quick charge for a run it is just perfect. I use them for calls and listening to music and they work great for both. They are so comfortable to wear and stay put. I love these!,5,jbl,Positive
102,Martyna1984,Great earbuds,"Overall JBL Live Pro 2 are great earphones. They were super easy and quick to connect to my iphone 12 - it took seconds. The sound quality is very good - I was very impressed actually. The noise cancelling is also pretty good. It definitely did irs job well on my recent flight full of noisy people! I could not hear a thing apart from my music. I like the charging case and the fact that it has lights that indicate the battery level. The fact that it closes with a magnet is also great; it feels that the earbuds are securely stored in the case. The product comes with 3 different size rubber caps that fit on the end of each earphone. Unfortunately I haven't been able to work out which size is best for me yet as the earbuds still fall out of my ears every now and again, especially during physical activity (gym). So this is something that I need to work on and figure out the best fit - hence my score of 4 stars",4,jbl,Positive
103,MikeD90,Blown away,So I have gone through many earbuds and Iâm very picky with fitment as I have small ears but theses are hands down the most comfortable Iâve had and the audio is insane using the equalizer on the app the bass hits hard and clear and crisp I highly recommend these to anyone who wants quality earbuds with amazing sound,5,jbl,Positive
104,JBlongz,Best ear buds I have  used.,Amazing sound for such a compact device.  The bass is clear and noise cancellation blocks external noise really well. I canât her my noisy air conditioner between songs. The case is sleek and magnetically grips your buds. The charging progress indicator lights on the case is a convenient feature. Highly recommended.,5,jbl,Positive
105,Diller,A big disappointment,"They didn't last a year. I loved them when they worked., but they have more issues than Time Magazine. I love JBL, but I will not buy any ear buds from them ever again. They don't carge correctly. They take 10 minutes to turn on. I troubleshoot and troubleshoot them almost every time I used them, I issues everysingletime i use them. Today i went to use them and 1 is 100%  and the other is 10% charged. I contacted JBL, sent in my information, they did nothing to cover their product. Soil will try different brand. This is ridiculous cause they are not used everyday, maybe twice a week.",2,jbl,Negative
106,Jeremy22,Outer space tank,"Iâve had these earbuds for about a year now and I think they deserve a review. I lost my left earbud for a month one time and had no idea where it went. Turns out I dropped it outside to my surprise I plug it back in and it works perfectly! With me mowing over it, rain and  cold temps it kept all its high tech features. This is as about 3 months ago and it still worksâ¦ Just an amazing product!",5,jbl,Positive
107,JBL stan,Absolutely abysmal piece of garbage,"I've been using these as a daily driver for 8 months now and they do have some good features (solid battery life and compact case), but also some horrible design flaws- such as the voice control that constantly turns on unprompted and will call random contacts without any noise in the room whatsoever... This leads to many awkward situations as one could imagine. The touch sensitivity of the earbuds is WAY too sensitive. I wish JBL would stick to refining just a few models of earbuds instead of releasing tons of mid tier ones.",1,jbl,Negative
108,Jaqueline87,Wow! Amazing sound and very nice look!,"I was very suprised by unboxing my package.
The In-Ears look very beautiful. The charging box has a very smooth touch, it lies well in the hand. The three lit bars indicate the battery status. So you can see very easiliy if you have to charge. 
The In-Ears fit perfectly in my ears. I'm not afraid to losing them.
And now to the sound: WOW! Clear and great sound. Noice cancelling is working very good. You can adjust the sound in the app until you find the perfect sound for you.
I've used samsung in-ears in the past. I have to say that these are significantly better. I love JBL.",5,jbl,Positive
109,Raichu,"Ok hardware, horrible firware/software updates","I've had these for almost a year and each software update makes the earbuds worse. 

They have great potential but the software is horrible.

The most recent firmware update makes multipoint audio completely useless.

Both devices will connect but audio will only play from the device that connected first.

You will have to manually turn Bluetooth on that device off to recieve audio from the 2nd device.

Headphones randomly pause themselves while audio is playing. 

None of the included ear tips fit correctly causing the earbuda to fall out of the ear constantly making anc useless.

Aftermarket ear tips would typically solves this but because of the oval shaped audio drivers most aftermarket eartips do not fit correctly.",2,jbl,Negative
110,sonofdavid,Excellent quality earbuds with 2 flaws,I just received these today and the audio is wonderful but I wish there was a 3d audio option like the lg fp8 has. Anc is good and transparency is good as well. The 2 flaws are that the app sometimes will not respond to my taps to enter the earbud option/adjustment screen so I'm stuck tapping on the screen until it finally opens up the options screen. Second flaw is a deal breaker for me (jbl correct me if I'm mistaken) and it is that I cannot turn the Anc on and off with earbud gestures  while on a phone call! I have to open up the app and do it there on my phone. I really love the look of these and their quality audio but unless these things change I will be sending them back and keeping the Lg fp8s.,3,jbl,Negative
111,Abdur 1982,Better than Apple or Bose headphones!,"Excellent quality headphones. Way better than Apple headphones and costs significantly less,",5,jbl,Positive
112,Lilposs72,"Great value, great sound and performanceð",So happy with my new JBLâs!! My new go-to earbudsð,5,jbl,Positive
113,nonameMK,JBL Live Pro 2 TWS,"I've been wanting to change out my wireless headphones for a while, and this particular model provides excellent music quality and all-day comfort. I was pleasantly surprised by the JBL Live Pro 2 TWS headphones, and I can say with certainty that they are among the best true wireless headphones on the market. The JBL Live Pro 2's audio output is simply exceptional. The headphones delivered a well-balanced and interesting sound when I listened to several musical genres. Active noise cancellation (ANC) is a feature that I especially appreciate. When ANC is turned on, background noise is efficiently eliminated, allowing me to focus solely on the music without interruptions. The several eartip options supplied with the JBL Live Pro 2 ensure an ideal fit. I wear the medium ones, and they are not uncomfortable to wear for extended periods of time. With ANC enabled, the headphones' playback time is roughly 9 hours; however, it can be increased to 30 hours by utilising the charging case. The JBL Live Pro 2 has a silky, modern aesthetic look. Bluetooth pairing is fast and stable, and I encountered no latency issues when listening to music or watching videos. The JBL Live Pro 2 TWS headphones are outstanding, to put it simply. All music lovers and those seeking true wireless headphones with high-quality audio should definitely consider these.",5,jbl,Positive
114,Agent Singh,Impressive Sound and ANC for the Price,"With crisp audio and a secure fit, the JBL Live Pro 2 earbuds deliver an impressive wireless listening experience. Their stylish and lightweight design makes them comfortable to wear for hours on end. The 11mm dynamic drivers produce bold, balanced sound with plenty of detail in the mids and highs. Bass lovers will appreciate the punchy low end, though it could be tighter and more accurate for critical listening. 

Active noise cancellation effectively blocks out ambient noise, with three modes to choose from depending on your surroundings. This makes the Live Pro 2 great for commuting or working in noisy environments. The six microphones pick up your voice clearly for phone calls too. 

Battery life is a highlight, lasting around 10 hours per charge with ANC on or 40 hours with the included charging case. The case provides multiple extra charges and has a nice compact shape. Quick charging gives you an hour of use from just 10 minutes in the case. 

Operation is smooth and intuitive with touch controls that are responsive yet resistant to accidental brushes. The JBL Headphones app unlocks customization options like EQ presets and Find My Buds. One minor downside is the large physical buttons, which press against your ear sometimes.

For around Â£125, the JBL Live Pro 2 deliver strong wireless sound and noise cancellation at a reasonable price point. Audiophiles may want more fidelity, but for everyday listening on the go, the Live Pro 2 get the job done very well. Their impressive battery life and lively sound make them easy to recommend.",5,jbl,Positive
115,knightlids,Great balance of performance and size,"Great sound, and perfect form factor. I've tried a few of JBL's soundbuds now and I think these are the perfect balance of features and performance. 

Enough bass, great clarify, the microphones seem to work well enough for calls, and the case isn't too bulky. I find that many earbud cases are just too big and the wrong shape to go in pockets. These are really good though for that, and stay closed. 

The noise cancelling works really well too, though like with all NC headphones and earbuds I've tried, it doesn't work when it's windy - the microphones end up picking up the wind noise and producing strange sounds to counteract it.",5,jbl,Positive
116,MrsSKaur,Decent for casual listening,"The JBL Live Pro 2 TWS headphones are decent for casual listening but have some flaws that prevent them from being great. The sound quality is pretty good, with emphasized bass and good clarity in the mids and highs. The active noise cancellation works okay in reducing low-end noise but isn't as effective against voices and higher frequencies. The design is comfortable for short periods but can cause ear fatigue during longer listening sessions. The touch controls are responsive but take some getting used to. Battery life is about 5 hours with ANC on, which is average but requires frequent recharging. Overall, the JBL Live Pro 2 headphones work well for commute and gym use but aren't versatile enough for all-day wear. At their price point, there are other options that offer better noise cancellation, comfort and battery life. They're fine for casual use but serious audiophiles may want to consider other headphones in this price range.",3,jbl,Negative
117,Meghan,Amazing ear buds with minor draw backs!!,"Overall I am loving these wireless ear buds! When I first received them I liked the compact design and case felt well built. The compact case is definitely a sleek design. But because the case is more flat instead of tall, I found opening the case was a bit tricky and a 2 handed operation. The sound quality is amazing with good bass and an overall clear sound. I did find that after extended use, the plastic portion (not the rubber changeable part) of the ear buds did seem a bit too big in my ear and felt slightly uncomfortable but they stayed in my ear better than other ear bud designs. The noise canceling from these are amazing. Standing next to my washing matching while it was running sounded completely silent with ear buds in and no music playing while connected to my phone.",5,jbl,Positive
118,Veeee,Surprisingly Great,"I bought these after reading the What HiFi review. In these ear buds, JBL have created seemingly high quality buds that sound amazing and made from quality materials all at a very reasonable price. The pebble like case is small and slick in design, and looks better than other well known brands. In the ear, these look smart and not bulky which suits me with my small ears! The sound is as good as What HiFi says, I'm enjoying bass and treble without any harshness whatsoever.",5,jbl,Positive
119,supersonic88,"Super comfy, great battery life, sound is great","These are super comfortable to wear for hours, it has a good seal and it is very lightweight. There is no ear fatigue after using this. 

The batteries last for hours on end and I am also a fan of the 15 minute quick charge. 

The size of the case is nice and small. I think I would have preferred the case to be wider to get it flatter so it fits in the pocket better but that is me nick picking.

The sound quality overall is great, the EQ is a nice addition but the noise cancelling isn't worth using; it naturally blocks out most background noise already and there is very little difference between it on or off.",4,jbl,Positive
120,Kentourcf,Amazing,"I bought these earbuds a few weeks ago and quite honestly I am surprised by the quality! firstly what I really liked was the option to block noise, itâs incredible how perfectly it works. then, the quality of the microphone when I'm on a phone call is great! and you can know the battery of the charging case thanks to 3 small lights. the only negative point is that personally the different sizes of ear tips  do not suit me. anyway I validate these earbuds !",5,jbl,Positive
121,Lm12,Complete waste of money.,"When I first bought this product, I was instantly disappointed.

Sound quality is crisp, but these run very quietly. When using in the gym, theyâre almost useless as they simply donât go loud enough. 

Iâve used MIFO and APPLE for years prior and both were fantastic. JBL is renowned for being a quality brand but I must say, this just isnât the case at all.

Not only were they MUCH quieter than any other headphones Iâve owned, they also CONSTANTLY dropped out, disconnected themselves, constantly made âgestureâ noise whilst playing even when all gestures are turned off which was very frustrating.

Things then get worse as the headphones have now blown - now they get used 5 times per week for 1-2 hours at most using only the EQ settings that come integrated with the headphonesâ¦ Iâve NEVER had a pair of headphones blow. These are approximately only a year old now.

When expressing the fault to customer service, I was offered a replacement and when I pointed out the customers are reporting the same issues, they didnât care. They clearly have a faulty product and even the newer model has the same reviewsâ¦ so they have no interest in resolving the fault.

Donât waste your money with JBL.

If you read the other reviews, it seems Iâm far from the only person experiencing these issues.",1,jbl,Negative
122,RD2023,Overall great!,"Firstly I really liked the size of the charging case which is nice and compact making it easy to carry around compared to other buds I have used in the past.  I also really like the finish of the buds which look classy particularly with the metal finish. The battery life is extremely good and I have not had to worry about recharging as frequently as my previous headphones despite using them frequently. I found the app very easy to use and navigate between options of adjusting sound quality and accessing the features such as noise cancelling.  The adaptive noise-cancelling function is overall good and adjusts to your surroundings however I have found rivals slightly better in blocking out those unwanted noises. However, the sound quality in my opinion is great.  Very clear and brilliant baseline.  Overall, I feel this is great value for money.",5,jbl,Positive
123,Su3d3,Disappointing :-(,"I bought JBL over-the-ear headphones and they worked great, so when JBL had their great 50% sale, I bought these earbuds for working out. I am happy with the quality of sound and the controls, however, the earbuds cut out every few minutes. It is quite frustrating. I talked with JBL customer service and to their credit, sent me new ones under the guarantee. Right out of the box, the new ones are doing the same thing and I feel the longer I wear them, the more frequent the cut outs occur.  I have older earbuds I have gone back to that don't have problems, so it isn't my phone. If something like this doesn't bother you, buy them, but it does me so I have stop using them. I cannot, in good faith, sell them to someone else knowing they do not work right, so now they just sit there. :-(",1,jbl,Negative
124,Top_Gear_Fanboy,Great quality and comfort,I really enjoyed this product. They are actually extremely comfortable in your ears and Ive worn them for a great deal of time and I don't really get any fatigue. The app is also pretty cool and allows you to change in between the different modes (basically whether it passes in outside sound or just uses noise canceling). Overall I really enjoyed them. I also liked how small their case was as it was very convenient.,5,jbl,Positive
125,BlondeAzn,AMAZING!,"I canât believe how amazing these earbuds are! This is the third set of JBL earbuds that Iâve been lucky enough to try and this by far is the best ones yet. The charging case is a little square. Sleek and not bulky. I absolutely love the interchangeable noise canceling feature. The quality of the sound is so clean and crisp. I wear these while I workout and Iâve had 0 issue with them falling out. They are very comfortable and fit my ears perfectly. They take about 15 mins to change and once charged, I can use them for a few days depending on how many hours I use em. Thereâs a little light indicator on the case to let me know when I need to charge them. A nice feature is they can be charged wirelessly. The touch feature is perfect for working out so I donât have to reach for my phone, I can just tap the earbud to pause my music. I got the blue pair but I know them come in different colors.",5,jbl,Positive
126,UKears,Great product,"Exceptional product, sound quality, design, colour amazing ( I went for the silver/grey ones) ease of use is just really good. Iâve used apple wireless headphones for a number of years but decided to go with the live pro 2s, they look way better than AirPod pros too.

I paid Â£130 but they are Â£99 now maybe JBL will honour the discount for me too as I only ordered it last week. :)",5,jbl,Positive
127,Adrian23,I love them,"High-quality sound and excellent call quality on both ends, a comfortable yet secure fit, and a feature-rich Android app. What more could I ask for? After owning (and getting disappointed by) Samsung, Pixel, and Anker buds, I'm pleasantly surprised and highly satisfied with this pair. I received them as a gift. I've never had anything from JBL before, and I never would have thought of buying anything, but now I'm looking forward to trying out more of their stuff, and I would highly recommend these earbuds.",5,jbl,Positive
128,Paul,"Great sound, good fit and useful features",I've had these for a month now to replace a good set of Denon wired earbuds and the sound is every bit as clear and punchy. The rubber earpieces mean they fit far better than the cheaper JBL buds with the hard plastic casings. Batter life seems good and with wireless charging it's easy to keep the case charged up. It can also be charged by usb-c cable from my phone if needed. The JBL app is easy to use and allows you to modify the touch controls and equaliser to a good degree. Overall these are a big step up from cheaper Â£20-60 earbuds without spending Â£200+ on more premium makes,5,jbl,Positive
129,durandal,Best JBL TWS headphones,"This is the best TWS headset that JBL makes. Sounds great, very compact wven with case, and good noise canceling.  Only thing that could be better is a little better microphone cancelling when on a call as some people on other end have complained.",5,jbl,Positive
130,pastorod23,Too many issues,"I was so excited to get these buds as I've been a fan of JBL for years, having a JBL soundbar. The sound produced is incredible. So I was sold on these buds, knowing I wouoldn't have to worry about its sound. The things most important to me was the alldged 10 play time that was advertised, and the water resistance. I bought these directly from JBL. Again, the sound qulaity was totally awesome. I can hear my music clearly in a loud environment as well. So I bought these to use primarily at work. I average 9 - 10 hours a day. Well in using these buds, I was only getting less than 8 hours on a full charge with noise canceling turned off. They also displayed an intermittent connection were the sound would go in and out. I thought it might be my phone signal but it wasn't. Music and video kept playing during periods of unstable connection. It hapened every single time after I connect my bluetooth to my new S22 Ultra 5G. I haven't had any other these problems with any other bluetooth device. Then the 10 hour play would become less and less. I'd only get 6 - 7 hours of play. I then bought a second JBL Live Pro 2 from an authorized vendor because I felt the ones I had were possibly defective. Since I only had the first pair for two weeks I sent them back for a refund. I got my second Live Pro 2, but the connectivity was exactly the same as the first pair. However, I'm only average 4 - 5 hours of play. Again this is without noise cancelling on. Before returning the first pair, I had called tech support and was told the shortened battery life was due to the volume level and other reasons not listed anywhere on the box. While these have incredible sound, it has too many major issues. Even my Galaxy buds 2 gives me more play time.",3,jbl,Negative
131,X27D,Good headphones but...,"Headphones are good, audio fidelity is above average, not amazing. However, they are let down by a terrible accompanying app, which for some bizarre reason must be downloaded to use them with an android device. They also occasionally dropout for no reason on to resume a second latter, hopefully this will be resolved with a firmware update.",3,jbl,Negative
132,Meluma,such a power in a small box,"I've been using these fro some time now, and they are brilliant! much more comfier than my previous ones and doesn't fall out of the ear. Noise cancellation is amazing and once on you can't hear e.g. cars going past outside( I live near busy road), or rain.  Voice calls are so much higher quality than before, finally the recipient of the call can hear me without any sound disruptions. in general sound quality is very good, with the correct settings that you can choose in the app you can feel like you are in the concert if listening to music, or in the filming plot if watching a movie or any other clip. personally I liked all the design from the charge box which was small and compact to the earbuds and colour was not the boring black and a bit different. Also very handful function for me, who always loses small things was 'find my buds', hopefully won't ever need to use it, but it's great it is there. the only downside why I am giving it 4 stars was : when the app needed to be updated and I was listening to music it started to pause frequently until I updated the app, which was a bit annoying, but anyway all good.",4,jbl,Positive
133,Florian R,Elevating Your Cycling Experience,"I'm an avid cyclist, and I recently got my hands on the JBL Tune Beam true wireless earbuds, and I'm absolutely thrilled with my purchase.

These earbuds are a game-changer for my rides. With up to 48 hours of outstanding JBL Pure Bass Sound, I can tackle any cycling route while enjoying my favorite tunes. Their ergonomic design ensures all-day comfort, and the fact that they're water and dust resistant is a huge plus, especially during unpredictable weather.

What I love most is the touch-sensitive controls, making it super easy to manage calls without being bothered by ambient noises. The Active Noise Cancelling and Smart Ambient technology are fantastic features, allowing me to decide whether I want to disconnect from the world or stay aware of my surroundings for safety.

The secure fit and noise isolation due to the stick-closed design enhance the overall audio experience. Plus, the JBL Headphones App lets me customize my listening experience to perfection.

In summary, the  earbuds have truly elevated my cycling adventures. They keep me connected and entertained while ensuring my safety and comfort. Highly recommended for fellow cyclists!",5,jbl,Positive
134,Jbl_customer,Good headphones,"This product is great! I decided to splurge and not get the cheapest wireless headphones I could find. These are well worth the investment. No buttons to break or that require you to mash them into your ear to pause. The magnetic clasp feels sturdy and secure. They last almost a week on a full charge (using them for about an hour or two a day).

The only small thing is that occasionally the audio cuts out for a split second. I don't know if it's my phone or the headphones, but it happens rarely enough that I'm assuming the next software update will take care of it.",4,jbl,Positive
135,barrayar1,Great Sounds,The JBL Live Pro 2 In Ears have a great sound. It can be scaled even better by downloading the JBL Headphone app. What is noticeable is that the bass portion is always too high - even in the vocal setting. The small charging case is nice and fits in any trouser pocket. The charging case is connected to a high-speed charging cable within 2 hours. The InEars are fully charged within a good 3 1/2 hours. The charging case still has 60% charge. The InEars adapt perfectly to the ear cups and the ANC is awesome - the JBL InEars are really only recommended.,4,jbl,Positive
136,Snfv,Not nice,Was raining and they stop to work nor even a week since I bought them,1,jbl,Negative
137,Hextreme,Wow!,"I have many sets of earbuds including the Sony xm4's and these JBL Live Pro 2 are the best I have owned so far. The audio quality is fantastic and using the app allows me to change settings to get the quality perfect for me. Bass is really good. My big surprise is the quality of the mic for calls. As long as you speak clearly and slowly, the person on the other end will hear you even with background noise. The noise cancelling, whilst not the best I have had, is perfectly adequate for me. Overall I recommend these as they are good all rounders.",5,jbl,Positive
138,boomslang,Good sound. Abominable connection stability,"These sound great - if you like your audio punctuated with dropouts and disconnects. I really like the sound of these. The ANC is excellent. The connectivity is atrocious, it's shamefully bad and I cannot overstate how bad it is with _all_ of my devices. I wish I'd returned them, but kept being promised issues would be fixed after software updates which only marginally helped if at all. It's not even that I've got a bad set, my wife's are almost as bad. It's a real shame because JBL usually produce high quality gear. Would not recommend.",1,jbl,Negative
139,Felix Cherry,Disconnect seriously when using outdoor,"I bought this earphone this August on the 19th, sound quality is nice noise cancellation does it work indoor. However, when using outdoor it continues to disconnect and disconnect seriously, call me this situation be resolved is a critical. it will be kind enough of you to let me have a solution to avoid outdoor disconnection.",1,jbl,Positive
140,Cheks,Very disappointed,"Iâve had these for almost 6 months. Theyâve never really been jaw dropping like the way a lot of people say. People cannot hear me properly when Iâm on the phone, thereâs no noise cancellation on them and worst of all, Iâd have my music on blast in my ears but the outside world is way louder! It sounds like the volume is on low constantly. The charge time definitely does not last as long as it says it does for me. I donât know if I got a bad batch but itâs sub par quality. I should have just stuck with AirPods.",2,jbl,Negative
141,Gdon,These are unbelievably great,"Fantastic little things.
Connect rally easy to different units in my home. Are loud clear and excellent sound
I WEAR HEARING AIDS ( over ear )  yet these still fit into my ears are snug, comfortable and donât move when Iâm on the treadmill .
Iâve tried some before and they were not even as half as loud as these and they were dearer, and the wer really uncomfortable
I am just so pleased to have them and would never thought to buy them accept Harvey Norman had a 30 day money back offer, so I thought what the heck I will give them a go . 
The app is great to boost up to what you want.
Iâve seen where people say they would prefer the headphones to have volume on the headphones and not just the app, but if you read the instructions you can set up the left one for volume as easy as pie.",5,jbl,Positive
142,Jaye99,Second bluetooth device keep disconnect.,I been using this earbud & start to notice that second device that pairing alway disconnect after 30mins of use. but there is no issue on primary device. Any advice on how to fix it? In general ear bud sound very good.,3,jbl,Positive
143,joji35,cuts out all the time,"I've had these for a little for over a month and the sound is amazing, but the Bluetooth connectivity is horrible. I have had 2 other pairs of wireless headphones in the past and granted they cut out from time to time, but THESE cut out ALL THE TIME> it's super annoying. also have noticed it's worse depending on what type of clothing I'm wearing and the pocket material. most times I have to walk around with my phone in my hand. and it's not the phone because I've tested on another device.",2,jbl,Negative
144,momof2,Sleek and mighty in a small package,"Sleek and attractive right out of the box.  I have the blue - which is a cool metallic color.  Once inserted, could immediately sense the noise cancellation properties.  Comfortable and lightweight in ear.  The headphones linked easily to my iPhone - all to had to do was find it listed under Bluetooth and clicked on the link to connect.   Controls were easy enough to figure out.  Sounds quality was great - Iâm not an audiophile but my music sounded great - a good mix of treble and bass.",5,jbl,Positive
145,good but bad,"Good earbuds, problem","I honestly really liked them, the noise cancelling was good so was the equalizer, but after only a month a half of using them the left ear bud simply stopped working properly, The left earbud would almost never charged. The right earbud and case worked perfectly.I tried cleaning it resetting it everything. I never got it wet dropped the case but they just stopped working after a month and a half. There was almost no advice on this. They were good, but no one likes to use one earbud.",2,jbl,Negative
146,hirtspeedy,Over priced,"I bought this earphones about two weeks ago by $87, I lost one and now you are buying the same one for $63 dollar extra, really? Come on JBL!!!!",1,jbl,Negative
147,jhp04,JBL Live Pro 2 TWS - just one gripe,"Nice packaging on delivery, feels like a premium product.  Very easy to use and pair with my iPhone- doesnt seem to drop connection like some other headphones.  Comfortable to wear. The microphone is good and i tend to be heard loud and clearly on calls. Sound quality is also good - maybe a little too bass-y.  Battery tends to last too. 
my only gripe is the lid of the charger/holder which feels very flimsy and easy to break.  Other than that, a good set of headphones.",4,jbl,Positive
148,bobby0712,overall..,"the sound quality is spectacular with a bunch of different options! volume is also wonderful, though very loud. i think i might of screwed up my hearing tbh but thatâs not the earbuds fault. 
the battery life is also spectacular! i would charge them every night since i would typically use them all day and they would last! if battery was close to dying on the buds, just put âem back in the case for a few minutes and it would last another couple hours. 

my only issue with the buds is comfortability. my ears are so sore after using these earbuds!! iâve tried all of the different size rubber ear thingies and it didnât change anything. though itâs probably just my ears. that really bummed me out because i got them as a christmas gift. 

overall iâd give the earbuds a 3/5 because comfortability is extremely important to me!",4,jbl,Positive
149,Draugs,Great quality earbuds,"The JBL Live Pro 2 earbuds have truly impressed me. The active noise cancellation feature is a game-changer, allowing me to enjoy my music or podcasts without external distractions. Their comfortable fit makes them ideal for long listening sessions, and I never worry about them falling out during workouts.

The touch controls are intuitive and responsive, giving me easy access to playback and calls. Plus, the long battery life means they last throughout the day.

I appreciate their water-resistant design; it gives me peace of mind when using them during workouts or in unpredictable weather.

In summary, the JBL Live Pro 2 earbuds offer top-notch audio quality and advanced features. They've become an essential part of my daily life, providing an exceptional listening experience. Highly recommended for those seeking high-quality wireless earbuds.",5,jbl,Positive
150,RandomHero,Great sound for great price! Very intuitive.,"I bought these a month ago to replace my old JBL Tune buds that stoped charging. I'm super impressed with the design of the buds and the case. The active noice cancelling has worked great.  Another bonus is that the ear buds fit perfect for me and are really comfortable!
JBL has shown me that they are a great brand with great products! I would reccomend the Live Pro 2 buds to anyone that wants great sound at a great price.",5,jbl,Positive
151,Kerry O,A great all rounder!,"These ear buds have really good sound, good base and amazing noise cancellation. They are comfortable to wear and also look stylish. The battery hold is also amazing, lasting for days without needing to be charged, unlike some cheaper brands that only last a day if that! Iâd certainly recommend these ear buds as they are great not just for every day listening, but also working out or just out walking! A good all rounder.",4,jbl,Positive
152,Sabby789,Great,"I bought these headphones a month ago and ao far so good. They fit well and the sound quality is excellent. In terms of the battery life, it lasts around 5 hours out of the case, and then you have to put it back in the case, and then it recharges in the case. The case battery lasts for a long time. So all in all, I'm happy, but there are times I would have liked to use them continuously for more than 5 hours but cant.",4,jbl,Positive
153,tootoochan,its waterproof but cannot swim with them,"disappointed.  i am returning them. they are IPX8 waterproof but the sensors are too sensitive such that the ear pods connect and disconnect and connect and disconnect multiple times when the pods sense the pressure of the water / waves in the swimming pool.  Maybe i should not have expected waterproof ear pods to be suitable for swimming.  I was not diving. 

if you dont buy them for swimming, then they work fine.",3,jbl,Negative
154,s11nny,Great ambient aware,"I have been using these for exactly 3 weeks now in the gym, i bought them just for the gym, and i think they are a cheaper alternative to the airpods pro, they do what theyâre supposed to do, great noise cancelling and as you may all know you always seem to bump into gym buddies and have a short chat, the earphones pick up you talking and goes into ambient aware automatically. Id buy these again.",5,jbl,Positive
155,Angelina91,Just an amazing device,"the headset is amazing. it fits easy and the sound is amazing. I used the earplugs while i was doing sport. you can wear them also for running and Kanga. The plugs are so tiny that my son can't grab them out of my ears while i carry him. The app is easy to use and very good for rookies. Last, but not least: A very good device that i will realy miss after the testting time:..(",5,jbl,Positive
156,getbeats3,it works only sometimes,"The things I was looking for when purchasing this was is it small enough? Is the sound quality good? can i workout with it? and when I make a phone call is the mic quality good? 

I had read a few reviews saying that after a few months it just stopped working. i only bought it a few weeks ago and it already started not wokring only sometimes. i got so frustrated i got on a crowded train full of loud people and was hoping to use the noise cancelling feature and listen to some music. it wouldnt play. it would connect, i would have the music playing with full volume, but i would hear nothing. even restarted my phone. normally im not picky with earbuds but this was just extremely frustrating that it would only work sometimes. plus my boyfriend whom i facetime often also told me it's hard to hear when i speak through the mic. other than this, the noise cancelling was good, and the sound quality was good, but only when it would work.",3,jbl,Negative
157,Tonyv,Superb Value For Money,"These in earphones tick all the boxes. They have great bass, clear sound, pairs and conncets quickly, the phone app is good and you can customise the sound and other features easily, touch features work well and they fit nice and comfortably in the ear. Did I mention the superb ANC? Superb value for money ans food looking too. You won't regret buying these.",5,jbl,Positive
158,sophvdh,Much better sound and bass than expected!,"I will be throwing out my Airpod pros after receiving these earphones! They are much comfier to wear, the case is smaller (and cuter), the colour options are cool and as the title suggests I am VERY impressed with the sound, especially when compared to the affordable price. I don't often leave reviews but I will be recommending these to everyone.",5,jbl,Positive
159,slipperyfish,great until,"bought this about 1 and half to 2 months ago, I really liked it until now.My left earbud, nevers goes to 100% and almost never charges even if in the case. My right earbud works perfectly. I have cleaned it, reset it , reconnected it. nothing has worked.I really liked these ear buds but this is a huge issue, there is also no support on this.",2,jbl,Negative
160,Upiet,Good earbuds,"After testing the JBL Live Pro 2 TWS I have to say they are good the sound quality is good the ambient awerness functions perfectly, beeing able to have conversations while listening to music feels great. The earbuds fit snuggly into an ear and have exelent battery life.the only bad tink for me at least was that the sound was a bit quiet.",4,jbl,Positive
161,charlottes,Highly recommend JBL Live Pro 2 TWS,"These are so much better than I expected. This is the first JBL product I've had and they did not disappoint. They were super easy to set up, fast charging, comfortable to wear and really good quality. The fit and sound are brilliant. The noise cancelling feature is good too. I would definitely recommend them to friends and family.",5,jbl,Positive
162,Phee,Annoying gesture noise,The sound is great and the battery life is good however every time I go to adjust them in my ears thereâs an annoying beeping noise that you can not turn off. This noise is linked to the gestures however even if you donât have any set up it still beeps when you tap the earpiece. It is very loud and there is no reason for it.,1,jbl,Negative
